client,condition,turn,session_id,prompt_name,prompt_tokens_in,prompt_tokens_after_pflash,prefill_time_logged_s,prefill_time_est_s,decode_time_s,output_tokens,accept_rate,wall_s,ok_done
claude_code,baseline,1,bandit-claude_code-1779573778,decode_check.txt,8766,416,0.786,2.02,0.108,1,0.0625,2.128,
claude_code,baseline,2,bandit-claude_code-1779573778,logic_check.txt,8766,416,0.054,0.884,0.108,1,0.0625,0.992,
claude_code,baseline,3,bandit-claude_code-1779573778,math_check.txt,8766,416,0.051,0.877,0.105,1,0.0625,0.982,
hermes,baseline,1,bandit-hermes-1779573795,decode_check.txt,14182,700,1.047,4.623,5.621,244,0.269,10.244,
hermes,baseline,2,bandit-hermes-1779573795,logic_check.txt,14232,713,0.866,4.193,9.603,553,0.3972,13.796,
hermes,baseline,3,bandit-hermes-1779573795,math_check.txt,14196,713,0.974,4.077,1.827,93,0.3942,5.904,
codex,baseline,1,bandit-codex-1779575462,decode_check.txt,9871,494,0.822,3.033,11.065,560,0.3278,14.098,
codex,baseline,2,bandit-codex-1779575462,logic_check.txt,9924,483,0.593,2.459,19.498,1107,0.39,21.957,
codex,baseline,3,bandit-codex-1779575462,math_check.txt,9880,471,0.686,2.335,3.836,299,0.5524,6.171,
pi,baseline,1,bandit-pi-1779575412,decode_check.txt,2099,2099,2.611,3.121,3.078,117,0.2582,6.199,
pi,baseline,2,bandit-pi-1779575412,logic_check.txt,2152,2152,0.154,0.676,10.74,463,0.3109,11.416,
pi,baseline,3,bandit-pi-1779575412,math_check.txt,2113,2113,0.108,0.637,2.925,131,0.3304,3.562,
opencode,baseline,1,bandit-opencode-1779575529,decode_check.txt,604,604,1.021,7.887,0.24,5,0.125,8.127,
opencode,baseline,2,bandit-opencode-1779575529,logic_check.txt,5424,237,0.369,5.922,4.541,201,0.2697,10.463,
opencode,baseline,3,bandit-opencode-1779575529,math_check.txt,657,657,0.147,9.48,0.475,12,0.1406,9.955,
claude_code,slim,1,bandit-claude_code-1779573870,decode_check.txt,8766,416,0.765,1.805,0.107,1,0.0625,1.912,
claude_code,slim,2,bandit-claude_code-1779573870,logic_check.txt,8766,416,0.051,0.873,0.102,1,0.0625,0.975,
claude_code,slim,3,bandit-claude_code-1779573870,math_check.txt,8766,416,0.048,0.846,0.101,1,0.0625,0.947,
hermes,slim,1,bandit-hermes-1779574123,decode_check.txt,14179,696,1.042,4.373,5.809,238,0.2553,10.182,
hermes,slim,2,bandit-hermes-1779574123,logic_check.txt,14241,692,0.844,3.898,6.516,388,0.3998,10.414,
hermes,slim,3,bandit-hermes-1779574123,math_check.txt,14196,716,0.881,3.847,2.803,237,0.5978,6.65,
codex,slim,1,bandit-codex-1779575661,decode_check.txt,9861,485,0.836,2.984,3.596,164,0.2931,6.58,
codex,slim,2,bandit-codex-1779575661,logic_check.txt,9924,483,0.62,2.399,20.757,1107,0.39,23.156,
codex,slim,3,bandit-codex-1779575661,math_check.txt,9870,499,0.114,2.214,4.219,281,0.4754,6.433,
pi,slim,1,bandit-pi-1779575622,decode_check.txt,2099,2099,2.61,3.123,3.114,117,0.2582,6.237,
pi,slim,2,bandit-pi-1779575622,logic_check.txt,2152,2152,0.16,0.685,10.9,463,0.3109,11.585,
pi,slim,3,bandit-pi-1779575622,math_check.txt,2113,2113,0.112,0.68,3.134,131,0.3304,3.814,
opencode,slim,1,bandit-opencode-1779575584,decode_check.txt,604,604,1.017,7.796,0.235,5,0.125,8.031,
opencode,slim,2,bandit-opencode-1779575584,logic_check.txt,5422,268,0.388,5.444,4.651,209,0.2829,10.095,
opencode,slim,3,bandit-opencode-1779575584,math_check.txt,657,657,0.153,3.884,0.49,12,0.1406,4.374,
